204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /public_html/.env HTTP/1.1" 404 2835 "-" "Mozilla/5.0 (X11; U; FreeBSD i386; en-US; rv:1.8.0.2) Gecko/20060414 Firefox/1.5.0.2"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /admin/.env.js HTTP/1.1" 404 435 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.162 Safari/537.36"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /uat/env.json HTTP/1.1" 404 435 "-" "Mozilla/5.0 (Linux; Android 4.4.2; SM-T230NU Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.98 Safari/537.36"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /tmp/.env.uat HTTP/1.1" 404 2836 "-" "Opera/9.80 (Windows NT 6.2; WOW64) Presto/2.12.388 Version/12.15"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /portal/.env HTTP/1.1" 404 435 "-" "Mozilla/5.0 (Linux; Android 7.0; SM-G610F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /qa/.env.dist HTTP/1.1" 404 435 "-" "Mozilla/5.0 (X11; U; Linux x86_64; it; rv:1.9.1.9) Gecko/20100402 Ubuntu/9.10 (karmic) Firefox/3.5.9 (.NET CLR 3.5.30729)"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /src/.env.dev HTTP/1.1" 404 435 "-" "Mozilla/5.0 (X11; U; SunOS sun4u; en-US; rv:1.8.1.4) Gecko/20070531 Firefox/2.0.0.4"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /src/env/.env HTTP/1.1" 404 2835 "-" "Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0; SV1; .NET CLR 1.1.4322; .NET CLR 1.0.3705; .NET CLR 2.0.50727)"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /src/.env.bak HTTP/1.1" 404 435 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E; Tablet PC 2.0)"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /tmp/.env.tmp HTTP/1.1" 404 435 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; uk; rv:1.9.1.2) Gecko/20090729 Firefox/3.5.2"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /var/www/.env HTTP/1.1" 404 2835 "-" "Mozilla/5.0 (Linux; U; Android 2.2.1; sv-se; GT-S5660 Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /twilio/.env HTTP/1.1" 404 435 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:59.0) Gecko/20100101 Firefox/59.0"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /adminapp/.env HTTP/1.1" 404 435 "-" "Mozilla/4.0 (compatible; MSIE 5.50; Windows 95; SiteKiosk 4.8)"
204.76.203.213 - - [14/Oct/2025:00:23:19 +0000] "GET /.env.json HTTP/1.1" 404 2836 "-" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/416.11 (KHTML, like Gecko) Safari/416.12"
